id,elpsdm,ordfreq,ordcat,log_n24,log_rev24,log_revlast,prediction
5001,24,1,6,1.6094379124341003,5.225746673713202,2.9444389791664403,0
5002,24,1,6,0.6931471805599453,3.4011973816621555,2.772588722239781,0
5003,24,1,7,3.1780538303479458,5.8916442118257715,3.4339872044851463,0
5004,24,1,6,1.3862943611198906,3.713572066704308,2.772588722239781,0
5005,24,1,6,1.6094379124341003,4.07753744390572,2.9444389791664403,0
5006,24,1,7,1.6094379124341003,4.499809670330265,3.258096538021482,0
5007,24,1,6,0.6931471805599453,3.4011973816621555,3.044522437723423,0
5008,24,1,6,1.6094379124341003,4.330733340286331,2.772588722239781,0
5009,23,1,6,1.9459101490553132,4.1588830833596715,3.044522437723423,0
5010,23,1,6,1.791759469228055,4.382026634673881,3.044522437723423,0
5011,23,1,5,2.833213344056216,5.231108616854587,2.5649493574615367,0
5012,23,1,7,2.0794415416798357,4.77912349311153,3.258096538021482,0
5013,23,1,6,1.6094379124341003,4.143134726391533,3.044522437723423,0
5014,23,1,6,2.3978952727983707,4.6913478822291435,2.772588722239781,0
5015,23,1,7,2.4849066497880004,5.231108616854587,3.258096538021482,0
5016,23,1,6,1.0986122886681098,3.367295829986474,2.8903717578961645,0
5017,23,1,6,2.3978952727983707,4.962844630259907,3.044522437723423,0
5018,23,1,6,0.6931471805599453,3.5553480614894135,3.044522437723423,0
5019,23,1,6,2.1972245773362196,4.700480365792417,2.772588722239781,0
5020,23,1,5,2.6390573296152584,4.927253685157205,2.5649493574615367,0
5021,23,1,6,1.9459101490553132,4.430816798843313,3.044522437723423,0
5022,23,1,6,2.1972245773362196,4.454347296253507,2.772588722239781,0
5023,23,1,6,1.6094379124341003,4.23410650459726,2.995732273553991,0
5024,23,1,6,2.302585092994046,4.983606621708336,3.044522437723423,0
5025,23,1,6,0.6931471805599453,3.6888794541139363,3.044522437723423,0
5026,23,1,6,1.791759469228055,4.382026634673881,2.772588722239781,0
5027,23,1,6,2.3978952727983707,4.812184355372417,2.833213344056216,0
5028,23,1,7,2.1972245773362196,4.709530201312334,3.4339872044851463,0
5029,23,1,6,1.0986122886681098,3.367295829986474,2.772588722239781,0
5030,23,1,6,1.3862943611198906,3.6109179126442243,2.772588722239781,0
5031,23,1,6,1.9459101490553132,4.394449154672439,2.833213344056216,0
5032,23,1,6,0.6931471805599453,3.6888794541139363,3.044522437723423,0
5033,23,1,6,2.3978952727983707,4.948759890378168,2.772588722239781,0
5034,23,1,6,2.0794415416798357,4.204692619390966,2.772588722239781,0
5035,23,1,7,0.6931471805599453,3.970291913552122,3.4339872044851463,0
5036,23,1,5,2.9444389791664403,4.060443010546419,2.3978952727983707,0
5037,23,1,6,0.6931471805599453,3.4657359027997265,2.8903717578961645,0
5038,23,1,6,1.3862943611198906,3.5263605246161616,2.772588722239781,0
5039,23,1,7,1.3862943611198906,4.189654742026425,3.258096538021482,0
5040,23,1,7,0.6931471805599453,3.6888794541139363,3.258096538021482,0
5041,23,1,5,2.995732273553991,5.135798437050262,2.6390573296152584,0
5042,23,1,5,2.833213344056216,5.313205979041787,2.6390573296152584,0
5043,23,1,6,2.833213344056216,5.54907608489522,2.9444389791664403,0
5044,23,1,6,1.9459101490553132,3.9512437185814275,3.044522437723423,0
5045,23,1,6,1.3862943611198906,3.295836866004329,2.9444389791664403,0
5046,23,1,6,1.3862943611198906,3.784189633918261,2.772588722239781,0
5047,23,1,7,2.772588722239781,6.091309882077698,3.9318256327243257,0
5048,23,1,6,1.3862943611198906,3.8501476017100584,3.044522437723423,0
5049,23,1,6,1.9459101490553132,5.017279836814924,2.9444389791664403,0
5050,23,1,6,1.9459101490553132,3.7376696182833684,3.044522437723423,0
5051,23,1,6,2.3978952727983707,4.574710978503383,2.8903717578961645,0
5052,23,1,6,2.302585092994046,4.653960350157523,2.772588722239781,0
5053,23,1,6,1.6094379124341003,4.330733340286331,3.044522437723423,0
5054,23,1,7,1.0986122886681098,3.871201010907891,3.258096538021482,0
5055,23,1,6,1.3862943611198906,3.7612001156935624,2.772588722239781,0
5056,23,1,7,2.4849066497880004,5.030437921392435,3.258096538021482,0
5057,23,2,5,3.6888794541139363,5.66988092298052,2.3978952727983707,0
5058,23,1,6,2.9444389791664403,4.836281906951478,2.772588722239781,0
5059,23,1,6,2.70805020110221,4.990432586778736,3.044522437723423,0
5060,23,1,6,2.0794415416798357,4.727387818712341,2.9444389791664403,0
5061,23,1,5,2.4849066497880004,4.762173934797756,2.70805020110221,0
5062,23,1,6,2.3978952727983707,4.90527477843843,3.044522437723423,0
5063,23,1,7,1.9459101490553132,5.393627546352362,3.58351893845611,0
5064,23,1,6,1.791759469228055,4.204692619390966,3.044522437723423,0
5065,23,1,6,1.791759469228055,4.51085950651685,3.044522437723423,0
5066,23,1,7,1.6094379124341003,4.382026634673881,3.4339872044851463,0
5067,23,1,5,3.1354942159291497,5.655991810819852,2.70805020110221,0
5068,23,1,6,1.791759469228055,3.9512437185814275,2.772588722239781,0
5069,23,1,6,2.3978952727983707,5.19295685089021,3.044522437723423,0
5070,23,1,6,0.6931471805599453,3.044522437723423,2.833213344056216,0
5071,23,1,7,0.6931471805599453,3.8066624897703196,3.258096538021482,0
5072,23,1,6,2.5649493574615367,5.003946305945459,3.044522437723423,0
5073,23,1,7,0.6931471805599453,3.8066624897703196,3.258096538021482,0
5074,23,1,7,1.9459101490553132,4.859812404361672,3.58351893845611,0
5075,23,1,6,0.6931471805599453,3.2188758248682006,2.772588722239781,0
5076,23,1,5,2.772588722239781,4.5217885770490405,2.3978952727983707,0
5077,23,1,6,0.6931471805599453,3.4657359027997265,2.8903717578961645,0
5078,23,1,6,2.8903717578961645,5.5909869805108565,2.772588722239781,0
5079,23,1,5,2.995732273553991,4.663439094112067,2.3978952727983707,0
5080,23,1,5,2.833213344056216,4.77912349311153,2.3978952727983707,0
5081,23,1,6,1.3862943611198906,4.0943445622221,2.772588722239781,0
5082,23,1,6,2.9444389791664403,5.170483995038151,2.772588722239781,0
5083,23,1,6,0.6931471805599453,3.2188758248682006,2.772588722239781,0
5084,23,1,6,2.1972245773362196,4.553876891600541,2.772588722239781,0
5085,23,1,7,2.302585092994046,5.10594547390058,3.295836866004329,0
5086,23,1,7,2.0794415416798357,5.545177444479562,3.9318256327243257,0
5087,23,1,6,1.3862943611198906,3.9889840465642745,2.8903717578961645,0
5088,22,1,6,1.791759469228055,3.9512437185814275,2.772588722239781,0
5089,22,1,6,2.0794415416798357,4.59511985013459,2.833213344056216,0
5090,22,1,6,1.791759469228055,4.276666119016055,2.772588722239781,0
5091,22,1,6,2.1972245773362196,4.700480365792417,2.772588722239781,0
5092,22,1,5,2.4849066497880004,4.5217885770490405,2.70805020110221,0
5093,22,1,6,0.6931471805599453,3.4011973816621555,3.044522437723423,0
5094,22,1,6,1.791759469228055,4.624972813284271,2.995732273553991,0
5095,22,1,6,2.4849066497880004,4.962844630259907,2.9444389791664403,0
5096,22,1,6,1.3862943611198906,4.31748811353631,3.044522437723423,0
